item_hash,call_id,descrição_original,descrição_retornada_pelo_llm,descrição_expandida,descricao_machine_learning,categoria,racional,ground_truth_categoria,modelo,temperatura_usada,prompt_version_key,target_run_id,batch_size
8ba93e01da4c1e72ba6fb3be7f11835e0cf747b1c48a4df7258d740a95f3856c,3d4573ab-334f-4b33-b6a0-fcda2b378b42,OVO PASCOA LACTA AO LEITE BATMAN 166G,OVO PASCOA LACTA AO LEITE BATMAN 166G,Ovo de Páscoa Lacta Ao Leite Batman 166 Gramas,ovo de pascoa lacta ao leite batman 166 gramas,ovos,"O produto é um ovo de Páscoa. 'PASCOA' foi expandido para 'Páscoa', e 'LACTA AO LEITE BATMAN' foi mantido como está, já que é a marca e o sabor. A categoria 'ovos' é a mais adequada.",ovo de pascoa,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
d864a72bef485d9b0d2de35371c749ac71b69b3e40dde5f03a15484aa9611261,3d4573ab-334f-4b33-b6a0-fcda2b378b42,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,Requeijão Light Crem Catupiry Caixa Plástica 200 Gramas,requeijao light crem catupiry caixa plastica 200 gramas,requeijão,"O produto é requeijão light. 'LIGHT' foi mantido, e 'CREM CATUPIRY CP' foi expandido para 'Crem Catupiry Caixa Plástica'. A categoria 'requeijão' é a mais adequada.",requeijao,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
b574fa9bc36a4455455a2bf130a309284500a76e1ed0ca0012a217905a1acb45,3d4573ab-334f-4b33-b6a0-fcda2b378b42,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,Biscoito Leite Maltado Piraque 85 Gramas Recipiente Chocolate Avela,biscoito leite maltado piraque 85 gramas recipiente chocolate avela,biscoitos,"O produto é um biscoito leite maltado. 'LEITE MALTADO' foi mantido, e 'PIRAQUE RECH CHOC AVELA' foi expandido para 'Piraque Recipiente Chocolate Avela'. A categoria 'biscoitos' é a mais adequada.",biscoito,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
1d472f4da10b183ae15799d8df38ffaa3541a655b757741727b2c3f21023b9ec,3d4573ab-334f-4b33-b6a0-fcda2b378b42,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,Molho de Tomate Heinz Especial Sabor Comprimido 340 Gramas Bolonhesa,molho de tomate heinz especial sabor comprimido 340 gramas bolonhesa,molhos,O produto é um molho de tomate. 'MOLHO TOM HEINZ ESP SC' foi expandido para 'Molho de Tomate Heinz Especial Sabor Comprimido'. A categoria 'molhos' é a mais adequada.,molho de tomate,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
bcf95b988f98d91f4fa6136bb97a8d74bbb8762bf47d892541fe109196446d7e,3d4573ab-334f-4b33-b6a0-fcda2b378b42,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,Chocolate Tab Garoto Talentos Leite Avela 85 Gramas,chocolate tab garoto talentos leite avela 85 gramas,chocolates,O produto é um chocolate. 'CHOC TAB GAROTO TALENTO LEITE AVELA' foi expandido para 'Chocolate Tab Garoto Talentos Leite Avela'. A categoria 'chocolates' é a mais adequada.,chocolate,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
5467be8ea126ca1be41abf03eeeb63d3fdbf7cd0aecb944a9a098ac7018fc3e7,3d4573ab-334f-4b33-b6a0-fcda2b378b42,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,Limpeza Multiuso Veja Explosão Perfume Frescor Violeta 500 Mililitros,limpeza multiuso veja explosao perfume frescor violeta 500 mililitros,limpadores de múltiplos usos,O produto é um limpador multiuso. 'LIMP M-USO VEJA EXPLOSAO PERF' foi expandido para 'Limpeza Multiuso Veja Explosão Perfume Frescor Violeta'. A categoria 'limpadores de múltiplos usos' é a mais adequada.,multiuso,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
198553307d4c794ef8a2072c1aba986238088935f7fe079d4abd6ae13e7b0490,3d4573ab-334f-4b33-b6a0-fcda2b378b42,"LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA","LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA","Lava Roupas Tixan Ype 4 Quilogramas Pacote Granel 3,6 Quilogramas Concentrado Primavera","lava roupas tixan ype 4 quilogramas pacote granel 3,6 quilogramas concentrado primavera",lava roupas,"O produto é um lava-roupa. 'LAVA ROUPA TIXAN YPE' foi mantido, e '4KG PG3,6KG PO CONC PRIMAVERA' foi expandido para '4 Quilogramas Pacote Granel 3,6 Quilogramas Concentrado Primavera'. A categoria 'lava roupas' é a mais adequada.",lava roupas,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
16b7cbbbde416310c440b7612428c131ecde3917122781c386daa289c3e6496d,3d4573ab-334f-4b33-b6a0-fcda2b378b42,BEB LACT UHT VIGOR 250ML DOCE LEITE,BEB LACT UHT VIGOR 250ML DOCE LEITE,Leite Condensado Uht Vigor 250 Mililitros Doce Leite,leite condensado uht vigor 250 mililitros doce leite,leite condensado,O produto é um leite condensado. 'BEB LACT UHT VIGOR' foi expandido para 'Leite Condensado Uht Vigor'. A categoria 'leite condensado' é a mais adequada.,bebida lactea,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
8fc45df30e61e0e20df443c36b80a9e5c2fd3c67da88f4e0857090973a0aa184,3d4573ab-334f-4b33-b6a0-fcda2b378b42,DESOD AERO NIVEA FEM DRY FRESH 150ML,DESOD AERO NIVEA FEM DRY FRESH 150ML,Desodorante Aero Nivea Feminino Dry Fresh 150 Mililitros,desodorante aero nivea feminino dry fresh 150 mililitros,desodorantes,O produto é um desodorante. 'DESOD AERO NIVEA FEM DRY FRESH' foi expandido para 'Desodorante Aero Nivea Feminino Dry Fresh'. A categoria 'desodorantes' é a mais adequada.,desodorante,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
593af5d3e88514a99139561225526aae0bcaf8c260d9c320818d0535e2bc9c55,3d4573ab-334f-4b33-b6a0-fcda2b378b42,AMIDO MILHO YOKI                PCT 500G,AMIDO MILHO YOKI                PCT 500G,Amido de Milho Yoki Pacote 500 Gramas,amido de milho yoki pacote 500 gramas,amidos,O produto é um amido de milho. 'AMIDO MILHO YOKI PCT' foi expandido para 'Amido de Milho Yoki Pacote'. A categoria 'amidos' é a mais adequada.,amido de milho,qwen2.5,0.0,v1,DRI_L0size10_Nc10_Seed52,10
680dd8c88bd326ae76483f647268bb064abad1fdf16ce09dd476eb1fa76e29e1,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,OVO PASCOA LACTA AO LEITE BATMAN 166G,OVO PASCOA LACTA AO LEITE BATMAN 166G,Ovo de Páscoa Lacta ao Leite Batman 166 Gramas,ovo de pascoa lacta ao leite batman 166 gramas,ovo de pascoa,"O produto é um ovo de páscoa da Lacta.  A abreviatura 'G' foi expandida para 'Gramas', e a categoria 'ovo de pascoa' é a mais adequada.",ovo de pascoa,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
c2b61e1c51ca2a95ca9f179b46b3f4758d933451a5b381f6148c6a5ff6aa3278,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,Requeijão Light Cremoso Catupiry 200 Gramas,requeijao light cremoso catupiry 200 gramas,queijo cremoso,O produto é um requeijão cremoso light da marca Catupiry. 'CP' foi considerado irrelevante para a descrição expandida e 'G' foi expandido para 'Gramas'. A categoria 'queijo cremoso' é a mais adequada.,requeijao,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
93f649f78061003f03d17a4af856635e7548c3587f78051748402d1dde001f27,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,Biscoito Leite Maltado Piraquê 85 Gramas Recheio Chocolate Avelã,biscoito leite maltado piraque 85 gramas recheio chocolate avela,biscoito,"O produto é um biscoito leite maltado com recheio de chocolate e avelã. 'BISC' foi expandido para 'Biscoito', 'G' para 'Gramas', 'RECH' para 'Recheio', 'CHOC' para 'Chocolate'. A categoria 'biscoito' é a mais adequada.",biscoito,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
a8a6735e6b30dccbbe3c5d17b4981ada7a11df9f995278d9c20cd168c7f487a8,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,Molho de Tomate Heinz Espesso 340 Gramas Bolonhesa,molho de tomate heinz espesso 340 gramas bolonhesa,molho de tomate,"O produto é um molho de tomate da marca Heinz. 'TOM' foi expandido para 'Tomate', 'ESP' para 'Espesso', 'SC' foi considerado irrelevante, e 'G' para 'Gramas'. A categoria 'molho de tomate' é a mais adequada.",molho de tomate,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
703d00564ea317be74761eba6db3cf413d04597b02ad31d35a970a3ec5f78aab,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,Chocolate em Tablete Garoto Talento Leite Avelã 85 Gramas,chocolate em tablete garoto talento leite avela 85 gramas,chocolate,"O produto é um chocolate em tablete da marca Garoto. 'CHOC' foi expandido para 'Chocolate', 'TAB' para 'Tablete', e 'G' para 'Gramas'. A categoria 'chocolate' é a mais adequada.",chocolate,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
33cf58a38aa53783fb53d7cf72444ac0e836ef277a96502ad49c8f1213d0e5b8,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,Limpador Multiuso Veja Explosão Perfeita 500 Mililitros Frescor Violeta,limpador multiuso veja explosao perfeita 500 mililitros frescor violeta,multiuso,"O produto é um limpador multiuso da marca Veja. 'M-USO' foi expandido para 'Multiuso', 'PERF' para 'Perfeita', e 'ML' para 'Mililitros'. A categoria 'multiuso' é a mais adequada.",multiuso,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
7757e38b74ab36d93588a9579cc19550a41d7dfe846c6cc007541f6125f5ef10,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,"LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA","LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA","Lava Roupa Tixan Ype 4 Quilogramas PG3,6 Quilogramas Pó Concentrado Primavera","lava roupa tixan ype 4 quilogramas pg3,6 quilogramas po concentrado primavera",lava roupas,"O produto é um lava roupas da marca Tixan. 'KG' foi expandido para 'Quilogramas', 'PO' para 'Pó', e 'CONC' para 'Concentrado'. A categoria 'lava roupas' é a mais adequada.",lava roupas,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
0636272874e1facb193827ae01b2aa5f64ad9ea54af1e62f9dc9463addd88c17,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,BEB LACT UHT VIGOR 250ML DOCE LEITE,BEB LACT UHT VIGOR 250ML DOCE LEITE,Bebida Láctea UHT Vigor 250 Mililitros Doce de Leite,bebida lactea uht vigor 250 mililitros doce de leite,bebida lactea,"O produto é uma bebida láctea da marca Vigor. 'BEB LACT' foi expandido para 'Bebida Láctea', 'ML' para 'Mililitros'. A categoria 'bebida lactea' é a mais adequada.",bebida lactea,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
d55ca8e0677addcfa78e9595fc31c72b43232ff76b1ba7865681639529400d01,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,DESOD AERO NIVEA FEM DRY FRESH 150ML,DESOD AERO NIVEA FEM DRY FRESH 150ML,Desodorante Aero Nivea Feminino Dry Fresh 150 Mililitros,desodorante aero nivea feminino dry fresh 150 mililitros,_RARE_,O produto é um desodorante feminino da Nivea. 'ML' foi expandido para 'Mililitros'. Não há categoria específica na lista para este tipo de produto.,desodorante,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
7a6ecc221df4ed2c87e8be71ac24b83173c49f3147870c7c9dfa57a3a66f21a8,87b939d9-e1a2-47ce-8d13-5cb11dd76a26,AMIDO MILHO YOKI                PCT 500G,AMIDO MILHO YOKI                PCT 500G,Amido de Milho Yoki Pacote 500 Gramas,amido de milho yoki pacote 500 gramas,amido de milho,O produto é amido de milho da marca Yoki. 'PCT' foi expandido para 'Pacote' e 'G' para 'Gramas'. A categoria 'amido de milho' é a mais adequada.,amido de milho,gemini-1.5-flash-latest,0.0,v1,DRI_L0size10_Nc10_Seed52,10
691ac4315bdaa6869bd66512a17b942d896d4d70dfd460b33c2c337532771365,280c521e-736f-4bce-bd83-b657d2f815c4,OVO PASCOA LACTA AO LEITE BATMAN 166G,OVO PASCOA LACTA AO LEITE BATMAN 166G,Ovo de Páscoa Lacta ao Leite Batman 166 Gramas,ovo de pascoa lacta ao leite batman 166 gramas,_RARE_,"O produto é um ovo de Páscoa da marca Lacta. A categoria não se encaixa em nenhuma das opções disponíveis, portanto foi classificado como '_RARE_'.",ovo de pascoa,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
0ccf5c4099d30dca34e4d7eb33b5a111e62c997cdea2d36f8ce753b01978c252,280c521e-736f-4bce-bd83-b657d2f815c4,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,Requeijão Light Cremoso Catupiry Copo 200 Gramas,requeijao light cremoso catupiry copo 200 gramas,requeijao,"O produto é um requeijão cremoso da marca Catupiry. 'CP' foi expandido para 'Copo', e a categoria 'requeijao' é a mais adequada.",requeijao,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
a13b0e954093314bd865ded6773ac8fe419d51e953d265c04dc0bac09d2560de,280c521e-736f-4bce-bd83-b657d2f815c4,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,Biscoito Leite Maltado Piraquê 85 Gramas Recheio Chocolate Avelã,biscoito leite maltado piraque 85 gramas recheio chocolate avela,biscoito,"O produto é um biscoito da marca Piraquê. 'BISC' foi expandido para 'Biscoito', e a categoria 'biscoito' é a mais apropriada.",biscoito,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
b1825976237d93c6e380bc0400c0047f7007c5e29afdfd8a395066e92a440bab,280c521e-736f-4bce-bd83-b657d2f815c4,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,Molho de Tomate Heinz Especial Squeeze 340 Gramas Bolonhesa,molho de tomate heinz especial squeeze 340 gramas bolonhesa,outro molho,"O produto é um molho de tomate da marca Heinz. 'SC' foi expandido para 'Squeeze', e a categoria 'outro molho' é a mais adequada.",molho de tomate,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
b64de9c4d4aeff49a78d3a666057400ca861796c9419e1c365d2f59bcc827186,280c521e-736f-4bce-bd83-b657d2f815c4,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,Chocolate Tablet Garoto Talento ao Leite Avelã 85 Gramas,chocolate tablet garoto talento ao leite avela 85 gramas,chocolate,"O produto é um chocolate da marca Garoto. 'TAB' foi expandido para 'Tablet', e a categoria 'chocolate' é a mais adequada.",chocolate,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
275042910382df002ae62dd0a70f5ba8d37cc344c5a79e61fcadea342c397b80,280c521e-736f-4bce-bd83-b657d2f815c4,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,Limpeza Multiuso Veja Explosão Perfumada 500 Mililitros Frescor Violet,limpeza multiuso veja explosao perfumada 500 mililitros frescor violet,produto de limpeza domestica,"O produto é um limpador multiuso da marca Veja. 'M-USO' foi expandido para 'Multiuso', e a categoria 'produto de limpeza domestica' é a mais adequada.",multiuso,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
f67851188bdcdc39a837e7ada172b80d1031f21f0bb31592a453ca5649fe68d9,280c521e-736f-4bce-bd83-b657d2f815c4,"LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA","LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA","Lava Roupas Tixan Ypê 4 Quilogramas Pacote 3,6 Quilogramas Pó Concentrado Primavera","lava roupas tixan ype 4 quilogramas pacote 3,6 quilogramas po concentrado primavera",lava roupas,"O produto é um lava roupas da marca Ypê. 'PG' foi expandido para 'Pacote', e a categoria 'lava roupas' é a mais apropriada.",lava roupas,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
ac08fc46c399b4167195672fe43c60bc0c6d63d683a9ad158bc0e26c6e2c65af,280c521e-736f-4bce-bd83-b657d2f815c4,BEB LACT UHT VIGOR 250ML DOCE LEITE,BEB LACT UHT VIGOR 250ML DOCE LEITE,Bebida Láctea UHT Vigor 250 Mililitros Doce de Leite,bebida lactea uht vigor 250 mililitros doce de leite,outra bebida,"O produto é uma bebida láctea da marca Vigor. 'LACT' foi expandido para 'Láctea', e a categoria 'outra bebida' é a mais adequada.",bebida lactea,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
cca5ae88262ea68633ebffc51a93c94ba21236e5d7fc2008333e7889291fb1c7,280c521e-736f-4bce-bd83-b657d2f815c4,DESOD AERO NIVEA FEM DRY FRESH 150ML,DESOD AERO NIVEA FEM DRY FRESH 150ML,Desodorante Aerosol Nivea Feminino Dry Fresh 150 Mililitros,desodorante aerosol nivea feminino dry fresh 150 mililitros,outro cosmeticos e perfumaria,"O produto é um desodorante aerosol da marca Nivea. 'AERO' foi expandido para 'Aerosol', e a categoria 'outro cosmeticos e perfumaria' é a mais adequada.",desodorante,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
24f1be94e23cd3c9564483e4d7ebaa98973a6a2e4f1e3c7adf28cbcb7a4268f6,280c521e-736f-4bce-bd83-b657d2f815c4,AMIDO MILHO YOKI                PCT 500G,AMIDO MILHO YOKI PCT 500G,Amido de Milho Yoki Pacote 500 Gramas,amido de milho yoki pacote 500 gramas,amido de milho,"O produto é amido de milho da marca Yoki. 'PCT' foi expandido para 'Pacote', e a categoria 'amido de milho' é a mais adequada.",amido de milho,gpt-4o-mini,0.0,v1,DRI_L0size10_Nc10_Seed52,10
53a1d24b3ad5dc8dabb9a162b1c80cf15f882c2fe4b540c5f1c21aec5bc42315,f8027edc-8ec6-4599-9572-bb5413bbe17a,OVO PASCOA LACTA AO LEITE BATMAN 166G,OVO PASCOA LACTA                PCT 180G,Ovo Pascua Lacta Pacote 180 Gramas,ovo pascua lacta pacote 180 gramas,ovo de pascoa,O produto é um ovo de pascoa da marca Lacta. 'PCT' foi expandido para 'Pacote' e a categoria 'ovo de pascoa' é a mais adequada.,ovo de pascoa,gemma3,1.0,v1,DRI_L0size10_Nc10_Seed52,10
a47e0ac37ff8619d8b638b95b3893a54786e94f0a92e548f4233f77806dc1708,f8027edc-8ec6-4599-9572-bb5413bbe17a,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,Requeijão Light Crem Catupiry Copo 200 Gramas,requeijao light crem catupiry copo 200 gramas,requeijao,"O produto é requeijão da marca Catupiry, com a linha 'Light'. 'CP' foi expandido para 'Copo' e a categoria 'requeijao' é a mais adequada.",requeijao,gemma3,1.0,v1,DRI_L0size10_Nc10_Seed52,10
e945e35f1e8c40c19bd90a8f29b38e2ae27d639d5d249c6b8310c857f16cd985,f8027edc-8ec6-4599-9572-bb5413bbe17a,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,"Biscoito Leite Maltado Piraque 85 Gramas, Recheio Chocolate Avelã","biscoito leite maltado piraque 85 gramas, recheio chocolate avela",biscoito,"O produto é um biscoito do tipo Leite Maltado da marca Piraque, com recheio de Chocolate e Avelã. 'RECH' foi expandido para 'Recheio', e a categoria 'biscoito' é a mais adequada.",biscoito,gemma3,1.0,v1,DRI_L0size10_Nc10_Seed52,10
6fe19ec1951b2774ea0702f11bf66d15e3eba5abee4825a472919eb0f6d67027,f8027edc-8ec6-4599-9572-bb5413bbe17a,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,"Molho Tomate Heinz Espeto Suco 340 Gramas, para Molho Bolognesa","molho tomate heinz espeto suco 340 gramas, para molho bolognesa",molho de tomate,"O produto é molho de tomate, do tipo Espeto e Suco, para a receita de Molho Bolognesa. 'ESP' foi expandido para 'Espeto' e 'SC' para 'Suco' e 'BOLONHESA' foi adicionado para dar contexto.",molho de tomate,gemma3,1.0,v1,DRI_L0size10_Nc10_Seed52,10
