run_id,l0_target_size,selection_order_in_l0,original_index,text_sample,true_label_sample,assigned_semantic_cluster_id,selection_reason_code,selection_score_value
DRI_L0size50_Nc50_Seed92,50,5,117741,VH CHI CASIL D.DIABLO RES 750ML TTO CAB SAUV,vinho importado,4,first_relevance,1.644090286582159
DRI_L0size50_Nc50_Seed92,50,6,28515,BISC.WAFER BONO 110G RECH.CHOC. PCT,biscoito,5,first_relevance,1.4200105031475425
DRI_L0size50_Nc50_Seed92,50,7,25452,BEB LACTEA YOPRO CHOC PROT 15G Z/LAC  1L,bebida lactea,6,first_relevance,1.4061235086646486
DRI_L0size50_Nc50_Seed92,50,8,145594,CONTRA FILE BOV BEST BEEF C/OSSO(PECA)KG,carne bovina,7,first_relevance,1.6616827071280167
DRI_L0size50_Nc50_Seed92,50,9,150867,COSTELA SUINA SEARA (FAT)RESF (P)     KG,carne suina,8,first_relevance,1.3873052707075217
DRI_L0size50_Nc50_Seed92,50,10,100845,BATATA FRITA OND RUFFLES ELMA CHIPS  40G,aperitivo,9,first_relevance,1.3241198360535449
DRI_L0size50_Nc50_Seed92,50,11,39134,IOG DESN GREGO CALDA  MOR VIGOR 90G,iogurte,10,first_relevance,1.4390653057486482
DRI_L0size50_Nc50_Seed92,50,12,2199,CHA MATTE ICE TEA LEAO LIMAO 300ML,cha pronto,11,first_relevance,1.7117376458348825
DRI_L0size50_Nc50_Seed92,50,13,74089,"SABAO PO TIXAN YPE SCH 4KG, MACIEZ, .",lava roupas,12,first_relevance,1.3894555323174231
DRI_L0size50_Nc50_Seed92,50,14,88968,CHOC TAB GAROTO AO LEITE AERO 80G,chocolate,13,first_relevance,1.879829219041726
DRI_L0size50_Nc50_Seed92,50,15,143416,AMIDO MILHO QUERO 500G,amido de milho,14,first_relevance,1.2023873092314874
DRI_L0size50_Nc50_Seed92,50,16,146814,LEITE L VIDA UHT SEMI DESN GLORIA 1L,leite,15,first_relevance,1.9699611862589803
DRI_L0size50_Nc50_Seed92,50,17,81942,LEITE PO INTEGRAL INST ITAMBE LT 400g,leite em po,16,first_relevance,1.7764965293452524
DRI_L0size50_Nc50_Seed92,50,18,84825,SAB BARRA ANTIBAC PROTEX MEN SPORT 85G,sabonete,17,first_relevance,1.4749781641926756
DRI_L0size50_Nc50_Seed92,50,19,83597,AGUA MINERAL CRYSTAL S/GAS PET 1.5L,agua,18,first_relevance,1.354751411177735
DRI_L0size50_Nc50_Seed92,50,20,23426,MOLHO TOM MANJERICAO HEINZ SC 340G,molho de tomate,19,first_relevance,1.270747423426367
DRI_L0size50_Nc50_Seed92,50,21,25688,CR DENT COLGATE LUM.WHITE 70G C/3 CARVAO ATIVADO,creme dental,20,first_relevance,1.4682848905494252
DRI_L0size50_Nc50_Seed92,50,22,170513,BALA FINI 27G GELATINA TUBES MORANGO ACIDO,bala,21,first_relevance,1.5776920529321394
DRI_L0size50_Nc50_Seed92,50,23,106074,AGUA DE COCO SOCOCO MAIS TANGER.TP 200ML,agua de coco,22,first_relevance,1.861875943791892
DRI_L0size50_Nc50_Seed92,50,24,67331,ARROZ PARB TIO JOAO T1 5KG,arroz,23,first_relevance,1.78166202475132
DRI_L0size50_Nc50_Seed92,50,25,173567,KIT CERV BRAHMA MALTE LT 350ML 6 UN COPO,cerveja,24,first_relevance,0.7035932134178325
DRI_L0size50_Nc50_Seed92,50,26,155607,DESOD AERO FEM REXONA COTTON DRY 150ML,desodorante,25,first_relevance,1.9040129735946907
DRI_L0size50_Nc50_Seed92,50,27,10527,MILHO PIPOCA YOKI P/MICRO 100GR MANTEIGA CINEMA,pipoca para microondas,26,first_relevance,1.5256395284304258
DRI_L0size50_Nc50_Seed92,50,28,63798,ACHOC PO NESCAU 370G-LT FATOR CRESC CHOC,achocolatado,27,first_relevance,1.4341774464425197
DRI_L0size50_Nc50_Seed92,50,29,81356,"BISC RECH BONO NESTLE 126g, DOCE LEITE",biscoito,28,first_relevance,1.7905118699007445
DRI_L0size50_Nc50_Seed92,50,30,167701,CHOC GAROTO 85G TAB TALENTO RECH COOKIES,chocolate,29,first_relevance,1.328722963986582
DRI_L0size50_Nc50_Seed92,50,31,487,ABS HIG INTIMUS GEL NOT SECA C/ABAS  C/8,absorvente,30,first_relevance,1.7146257302344572
DRI_L0size50_Nc50_Seed92,50,32,65570,CALDO TAB MAGGI 57G MENOS SODIO GALINHA,caldo industrializado,31,first_relevance,1.7055895384836588
DRI_L0size50_Nc50_Seed92,50,33,54146,SUCO DEL VALLE NECTAR TP 1L  UVA S ACUC,suco pronto,32,first_relevance,1.9617670398205134
DRI_L0size50_Nc50_Seed92,50,34,131241,SANDUICHE SADIA HOT POCKET X BACON 145G,sanduiche congelado,33,first_relevance,1.7819794601248502
DRI_L0size50_Nc50_Seed92,50,35,19529,AMAC ROUPA CONC DOWNY 500ML FR BRISA DE VERAO,amaciante,34,first_relevance,1.8295718269735617
DRI_L0size50_Nc50_Seed92,50,36,80517,SACO LIXO DOVER-ROLL 50L 30UN-RL PTO SUPER FORTE,saco de lixo,35,first_relevance,1.8594502599498457
DRI_L0size50_Nc50_Seed92,50,37,131395,"LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA",lava roupas,36,first_relevance,1.866687266359494
DRI_L0size50_Nc50_Seed92,50,38,26257,BISC.MABEL 350G ROSQUINHA COCO,biscoito,37,first_relevance,1.3257905003786223
DRI_L0size50_Nc50_Seed92,50,39,99666,REFRESCO PO TANG LARANJA        EV   25G,preparo para suco,38,first_relevance,1.544291124828569
DRI_L0size50_Nc50_Seed92,50,40,48176,MASSA KNORR SEMOLA C/OVOS PENA 500G,macarrao,39,first_relevance,1.4930004325160033
DRI_L0size50_Nc50_Seed92,50,41,134849,FILE PEITO FGO SADIA CONG IQF PCT 1kg,carne de ave,40,first_relevance,2.106034651627561
DRI_L0size50_Nc50_Seed92,50,42,136311,PEITO PERU DEF SOLTISSIMO SADIA FAT 200G,peito de peru,41,first_relevance,1.2396955250563657
DRI_L0size50_Nc50_Seed92,50,43,27081,ATUM GOMES DA COSTA RALADO LT 170G OLEO DEF,proteina em conserva,42,first_relevance,1.7017130194037031
DRI_L0size50_Nc50_Seed92,50,44,37896,MARGARINA CLAYBOM MANTEIGA PT 500G C/SAL,margarina,43,first_relevance,1.622539245027227
DRI_L0size50_Nc50_Seed92,50,45,17663,LIMP M.USO DESENG L.LIMO X14 VEJA 500ML OF ESP,multiuso,44,first_relevance,1.949440231839617
DRI_L0size50_Nc50_Seed92,50,46,53910,INSET ELET LIQ SBP CITRONELA 45N RF 35ml,repelente,45,first_relevance,1.7319994682071675
DRI_L0size50_Nc50_Seed92,50,47,19606,LEITE COND MOCA SEMIDESNATADO TP 395g,leite condensado,46,first_relevance,1.9302165137169454
DRI_L0size50_Nc50_Seed92,50,48,103639,BEB ENERG RED BULL 473ML-LT ENERGY DRINK,energetico,47,first_relevance,1.9669514762555702
DRI_L0size50_Nc50_Seed92,50,49,50301,BISC.BAUDUCCO 80G CHOCO BISCUIT AO LEITE,biscoito,48,first_relevance,1.414480311608945
DRI_L0size50_Nc50_Seed92,50,50,69236,LEITE FERM ACTIVIA LIQ GF AMEIXA 800g,leite fermentado,49,first_relevance,1.8572061650247118
DRI_L0size100_Nc100_Seed142,100,1,84747,DESOD AERO FEM REXONA POWDER DRY 150ML,desodorante,0,first_relevance,1.8484249981186984
DRI_L0size100_Nc100_Seed142,100,2,65570,CALDO TAB MAGGI 57G MENOS SODIO GALINHA,caldo industrializado,1,first_relevance,1.708539172582284
DRI_L0size100_Nc100_Seed142,100,3,54132,FRALDA PAMPERS PANTS MEGA XG C/32,fralda,2,first_relevance,1.5621368455773559
DRI_L0size100_Nc100_Seed142,100,4,133601,CERVEJA IMPERIO PURO MALTE 350ML-LT PILSEN,cerveja,3,first_relevance,1.7242908265095331
DRI_L0size100_Nc100_Seed142,100,5,15052,ACUCAR UNIAO CRISTAL DEMERARA 1KG,acucar,4,first_relevance,1.7828076165080828
DRI_L0size100_Nc100_Seed142,100,6,42163,CEREAL BARRA NUTRY BANANA/CHOC 60G,barra alimentar,5,first_relevance,1.6689572482646449
DRI_L0size100_Nc100_Seed142,100,7,36745,MAC SEMOLA C OVOS PARAFUSO GALO 500G,macarrao,6,first_relevance,1.469799632772661
DRI_L0size100_Nc100_Seed142,100,8,101803,LIMP M USO AJAX PERF FESTA FLORES LAV 1L,multiuso,7,first_relevance,1.5543049433205571
DRI_L0size100_Nc100_Seed142,100,9,158513,OVO PASCOA LACTA AO LEITE BATMAN 166G,ovo de pascoa,8,first_relevance,1.4094647386058585
DRI_L0size100_Nc100_Seed142,100,10,8440,PAO FORMA PULLMAN 450G GRAOS CAST 100 INTEGRAL,padaria e confeitaria industrializado,9,first_relevance,1.2589482575230229
DRI_L0size100_Nc100_Seed142,100,11,49271,LING CALAB PERDIGAO COZ E DEF VAC KG,linguica,10,first_relevance,1.524592643593372
DRI_L0size100_Nc100_Seed142,100,12,84825,SAB BARRA ANTIBAC PROTEX MEN SPORT 85G,sabonete,11,first_relevance,1.4725339616172812
DRI_L0size100_Nc100_Seed142,100,13,37980,IOG.GREGO VIGOR 540G ULTRACR.NAT. MORANGO,iogurte,12,first_relevance,1.4413745603589327
DRI_L0size100_Nc100_Seed142,100,14,66820,LAVA ROUPA LIQ OMO LAV PERFEITA RF 900ML,lava roupas,13,first_relevance,1.816161822401802
DRI_L0size100_Nc100_Seed142,100,15,61795,KIT HEINZ KETCHUP TRAD PICLES       397G,ketchup,14,first_relevance,1.4916725264171649
DRI_L0size100_Nc100_Seed142,100,16,39856,BISC TRAKINAS RECH PC 126G MAIS MORANGO,biscoito,15,first_relevance,1.7151054119793445
DRI_L0size100_Nc100_Seed142,100,17,13669,TORRADA BAUDUCCO MULTIGRAOS     PCT 142G,torrada,16,first_relevance,1.4570094431117029
DRI_L0size100_Nc100_Seed142,100,18,61112,PIZZA CONG FGO QJO SEARA 460G,pizza congelada,17,first_relevance,1.5298164506186507
DRI_L0size100_Nc100_Seed142,100,19,146814,LEITE L VIDA UHT SEMI DESN GLORIA 1L,leite,18,first_relevance,1.979993462367411
DRI_L0size100_Nc100_Seed142,100,20,23426,MOLHO TOM MANJERICAO HEINZ SC 340G,molho de tomate,19,first_relevance,1.5434779196657455
DRI_L0size100_Nc100_Seed142,100,21,126130,CHOC TAB LACTA PC 80G AO LEITE,chocolate,20,first_relevance,1.8937232387881526
DRI_L0size100_Nc100_Seed142,100,22,12833,BATATA FRITA RUFFLES 84G ONDULADA CEB/SALSA PCT,aperitivo,21,first_relevance,1.3707608202097175
DRI_L0size100_Nc100_Seed142,100,23,86486,BEB A BASE SOJA ADES UVA 1L,bebida de soja,22,first_relevance,1.8220268491276974
DRI_L0size100_Nc100_Seed142,100,24,117741,VH CHI CASIL D.DIABLO RES 750ML TTO CAB SAUV,vinho importado,23,first_relevance,1.685618677063644
DRI_L0size100_Nc100_Seed142,100,25,51818,CERVEJA EISENBAHN SESSION IPA LN 355ml,cerveja,24,first_relevance,1.1584625497907817
DRI_L0size100_Nc100_Seed142,100,26,83597,AGUA MINERAL CRYSTAL S/GAS PET 1.5L,agua,25,first_relevance,1.8466947025908216
DRI_L0size100_Nc100_Seed142,100,27,54146,SUCO DEL VALLE NECTAR TP 1L  UVA S ACUC,suco pronto,26,first_relevance,1.7775255954024427
DRI_L0size100_Nc100_Seed142,100,28,168889,MIST BOLO FLEISCHMANN ESC SC 400G BROWNIE CHOC,preparo para bolo,27,first_relevance,1.4533362011176951
DRI_L0size100_Nc100_Seed142,100,29,96597,AMIDO DE MILHO MAIZENA VITA 500G,amido de milho,28,first_relevance,1.2255327096162418
DRI_L0size100_Nc100_Seed142,100,30,52791,BISC CREAM CRACKER MARILAN AGUA/SAL 350G,biscoito,29,first_relevance,1.3015781722747923
DRI_L0size100_Nc100_Seed142,100,31,24159,BEB LACTEA YOPRO 250ML C/15G PROTEI MORANGO Z/LAC,bebida lactea,30,first_relevance,1.5651405431783076
DRI_L0size100_Nc100_Seed142,100,32,136996,CAFE NESCAFE SOLUVEL SC 50G TRADICAO FORTE,cafe,31,first_relevance,1.3761323748466403
DRI_L0size100_Nc100_Seed142,100,33,99367,UVA PRETA SEM SEMENTE ESPECIAL SQ 500G,uva,32,first_relevance,1.190890928570559
DRI_L0size100_Nc100_Seed142,100,34,69236,LEITE FERM ACTIVIA LIQ GF AMEIXA 800g,leite fermentado,33,first_relevance,1.8666287201053648
DRI_L0size100_Nc100_Seed142,100,35,81942,LEITE PO INTEGRAL INST ITAMBE LT 400g,leite em po,34,first_relevance,1.7595782068089107
DRI_L0size100_Nc100_Seed142,100,36,166591,ALHO/CEBOLA PICADO TAPAJOS S/SAL 200G,outro condimento,35,first_relevance,1.2875328695514598
DRI_L0size100_Nc100_Seed142,100,37,13402,CR DENT COLGATE TOT 12 WHITEN GEL 90G,creme dental,36,first_relevance,1.5340090902929062
DRI_L0size100_Nc100_Seed142,100,38,89027,REFRIG COCA COLA 2L FANTA LARANJA 2L PET,refrigerante,37,first_relevance,1.9161488763492602
DRI_L0size100_Nc100_Seed142,100,39,145594,CONTRA FILE BOV BEST BEEF C/OSSO(PECA)KG,carne bovina,38,first_relevance,1.7261173402297045
DRI_L0size100_Nc100_Seed142,100,40,175100,SH SEDA 325ML-FR LISO PERFEITO,shampoo,39,first_relevance,1.34870072233895
DRI_L0size100_Nc100_Seed142,100,41,48176,MASSA KNORR SEMOLA C/OVOS PENA 500G,macarrao,40,first_relevance,1.314023785375068
DRI_L0size100_Nc100_Seed142,100,42,225,KIT SEDA SH COND 325ML PRECO ESP LISO PERF,kit para cabelos,41,first_relevance,1.8508188923996087
DRI_L0size100_Nc100_Seed142,100,43,143172,ALCOOL COPERALCOOL 46 INPM 1L,alcool,42,first_relevance,1.4403938917967898
DRI_L0size100_Nc100_Seed142,100,44,99666,REFRESCO PO TANG LARANJA        EV   25G,preparo para suco,43,first_relevance,1.5968133102738171
DRI_L0size100_Nc100_Seed142,100,45,165791,ALIM P/ GATOS WHISKAS AD CARNE JELLY SACHE 85g,alimento pet,44,first_relevance,1.8027616102361474
DRI_L0size100_Nc100_Seed142,100,46,2199,CHA MATTE ICE TEA LEAO LIMAO 300ML,cha pronto,45,first_relevance,1.7156174732841536
DRI_L0size100_Nc100_Seed142,100,47,125849,TOALHA UMED HUGGIES BABY WIPES C/48,lenco umedecido,46,first_relevance,1.399784234135037
DRI_L0size100_Nc100_Seed142,100,48,87020,DESINF PINHO SOL M USO LAVANDA 500ML,desinfetante,47,first_relevance,1.4138779182920904
DRI_L0size100_Nc100_Seed142,100,49,146703,BALA FINI GELATINA PC 100G BANANA,bala,48,first_relevance,0.5044366082228832
DRI_L0size100_Nc100_Seed142,100,50,122536,CHOC TAB TALENTO RECH COOKIES GAROTO 90G,chocolate,49,first_relevance,1.3758924027330033
DRI_L0size100_Nc100_Seed142,100,51,137550,PAPEL HIG NEVE TOQUE FD 30M L12P11 NEUTRO,papel higienico,50,first_relevance,2.207595410824744
DRI_L0size100_Nc100_Seed142,100,52,136311,PEITO PERU DEF SOLTISSIMO SADIA FAT 200G,peito de peru,51,first_relevance,1.6210801349469233
DRI_L0size100_Nc100_Seed142,100,53,99207,AZEITE PORT EXT VIRG GALLO VD 500ML,azeite de oliva,52,first_relevance,1.9698047281426694
DRI_L0size100_Nc100_Seed142,100,54,69378,COXA S/COXA FGO SEARA KG CONG C/OSSO,carne de ave,53,first_relevance,1.556867344381025
DRI_L0size100_Nc100_Seed142,100,55,80517,SACO LIXO DOVER-ROLL 50L 30UN-RL PTO SUPER FORTE,saco de lixo,54,first_relevance,1.8443786964138136
DRI_L0size100_Nc100_Seed142,100,56,63798,ACHOC PO NESCAU 370G-LT FATOR CRESC CHOC,achocolatado,55,first_relevance,1.4285917159419093
DRI_L0size100_Nc100_Seed142,100,57,487,ABS HIG INTIMUS GEL NOT SECA C/ABAS  C/8,absorvente,56,first_relevance,1.7299859916797837
DRI_L0size100_Nc100_Seed142,100,58,166341,LASANHA BOLONHESA MASSA LEVE 600G,lasanha congelada,57,first_relevance,1.292602173001179
DRI_L0size100_Nc100_Seed142,100,59,19606,LEITE COND MOCA SEMIDESNATADO TP 395g,leite condensado,58,first_relevance,1.92384405204713
DRI_L0size100_Nc100_Seed142,100,60,88948,BEB ALC MISTA SKOL BEATS SENSES LT 269ML,bebida mista,59,first_relevance,2.3041870690932735
DRI_L0size100_Nc100_Seed142,100,61,75553,MOLHO SAKURA AJI-NO-SHOYU       FC 150ML,molho shoyu,60,first_relevance,1.3461464888734749
DRI_L0size100_Nc100_Seed142,100,62,8941,"AMAC ROUPA CONC DOWNY 1,5L-FR BRISA VERAO",amaciante,61,first_relevance,1.853881416910936
DRI_L0size100_Nc100_Seed142,100,63,150129,GEL DENTAL COLGATE NA CARVAO ATIVADO,creme dental,62,first_relevance,1.5418448819420258
DRI_L0size100_Nc100_Seed142,100,64,112374,ORG AVEIA QUAKER FLOCOS FINOS 170G,aveia e seus derivados,63,first_relevance,2.028454218631345
DRI_L0size100_Nc100_Seed142,100,65,69631,CREME LEITE ZERO LAC NESTLE TP 200G,creme de leite,64,first_relevance,1.2539651744382783
DRI_L0size100_Nc100_Seed142,100,66,69267,DET LIQ LOUCA YPE CLEAR CARE 500ML,detergente,65,first_relevance,1.9652500147521708
DRI_L0size100_Nc100_Seed142,100,67,27081,ATUM GOMES DA COSTA RALADO LT 170G OLEO DEF,proteina em conserva,66,first_relevance,1.6912976058068838
DRI_L0size100_Nc100_Seed142,100,68,147616,QUEIJO PRESIDENT 150G MUSSARELA FAT,queijo,67,first_relevance,1.4281922366362094
DRI_L0size100_Nc100_Seed142,100,69,20219,BISC LEITE MALTADO PIRAQUE 85G RECH DOCE DE LEITE,biscoito,68,first_relevance,1.701675453977043
DRI_L0size100_Nc100_Seed142,100,70,48782,BATATA ELMA CHIPS PALHA EXTRA FINA 100G,vegetal em palha,69,first_relevance,1.7607046779904527
DRI_L0size100_Nc100_Seed142,100,71,82005,SAB LIQ LUX BOTANICALS RF 200ML ROSAS FRANCESAS,sabonete,70,first_relevance,1.8063941481832182
DRI_L0size100_Nc100_Seed142,100,72,84142,FEIJAO CARIOCA T1 BROTO LEGAL 1KG,feijao,71,first_relevance,1.6976441991256888
DRI_L0size100_Nc100_Seed142,100,73,52570,MAIONESE HELLMANNS 335G CHIPOTLE PIMENTA SQZ,maionese,72,first_relevance,1.3740571564917021
DRI_L0size100_Nc100_Seed142,100,74,10527,MILHO PIPOCA YOKI P/MICRO 100GR MANTEIGA CINEMA,pipoca para microondas,73,first_relevance,1.4726095497239888
DRI_L0size100_Nc100_Seed142,100,75,131241,SANDUICHE SADIA HOT POCKET X BACON 145G,sanduiche congelado,74,first_relevance,1.766303285365382
DRI_L0size100_Nc100_Seed142,100,76,137197,FAROFA PRONTA YOKI MAND PC 200G SOJA,farofa pronta,75,first_relevance,1.6920761432847669
DRI_L0size100_Nc100_Seed142,100,77,142409,ERVILHA E MILHO VDE QUERO 170G LT,milho verde e ervilha em conserva,76,first_relevance,1.2772674013920695
DRI_L0size100_Nc100_Seed142,100,78,71787,BALA GELATINA FINI 27G TUBES IOG MORANGO,bala,77,first_relevance,1.371146658646038
DRI_L0size100_Nc100_Seed142,100,79,69689,"SORV KIBON CREMOSISSIMO 1,5L PT FLOCOS",sorvete,78,first_relevance,1.737559041821016
DRI_L0size100_Nc100_Seed142,100,80,154593,COLOMBA PASCAL BAUDUCCO GOTAS CHOC 454g,panificacao pascoa,79,first_relevance,1.4912669061859518
DRI_L0size100_Nc100_Seed142,100,81,106074,AGUA DE COCO SOCOCO MAIS TANGER.TP 200ML,agua de coco,80,first_relevance,1.4527773867484342
DRI_L0size100_Nc100_Seed142,100,82,47664,ALFACE CRESPA ROXA HIDROP SUGUIMOTO UN,alface,81,first_relevance,1.3712574005332545
DRI_L0size100_Nc100_Seed142,100,83,93596,MANTEIGA DANONE EXTRA S/SAL PT 200g,manteiga,82,first_relevance,1.7208494056178525
DRI_L0size100_Nc100_Seed142,100,84,115210,AMENDOIM PETTIZ DORI CROC 150G  JAPONES,amendoim,83,first_relevance,1.5405594272651704
DRI_L0size100_Nc100_Seed142,100,85,46971,EXTRATO TOM ELEFANTE SO 300G TOMATE,extrato de tomate,84,first_relevance,1.5499982199073932
DRI_L0size100_Nc100_Seed142,100,86,74089,"SABAO PO TIXAN YPE SCH 4KG, MACIEZ, .",lava roupas,85,first_relevance,1.3339886694327916
DRI_L0size100_Nc100_Seed142,100,87,70460,MARGARINA QUALY CREM PT 500G S/SAL,margarina,86,first_relevance,1.5074273867973318
DRI_L0size100_Nc100_Seed142,100,88,67331,ARROZ PARB TIO JOAO T1 5KG,arroz,87,first_relevance,1.7997886510451941
DRI_L0size100_Nc100_Seed142,100,89,131395,"LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA",lava roupas,88,first_relevance,2.1529266527080995
DRI_L0size100_Nc100_Seed142,100,90,28515,BISC.WAFER BONO 110G RECH.CHOC. PCT,biscoito,89,first_relevance,1.7150804541343256
DRI_L0size100_Nc100_Seed142,100,91,33900,AGUA TONICA SCHWEPPES PET 1.5L,agua tonica,90,first_relevance,1.3078664005766616
DRI_L0size100_Nc100_Seed142,100,92,103639,BEB ENERG RED BULL 473ML-LT ENERGY DRINK,energetico,91,first_relevance,1.9539347896000954
DRI_L0size100_Nc100_Seed142,100,93,23895,ISOTONICO GATORADE LIMAO 500ML PET,isotonico,92,first_relevance,1.3167864362768795
DRI_L0size100_Nc100_Seed142,100,94,134849,FILE PEITO FGO SADIA CONG IQF PCT 1kg,carne de ave,93,first_relevance,2.2341336976737396
DRI_L0size100_Nc100_Seed142,100,95,17663,LIMP M.USO DESENG L.LIMO X14 VEJA 500ML OF ESP,multiuso,94,first_relevance,2.0813602139672764
DRI_L0size100_Nc100_Seed142,100,96,77666,CEREAL MAT SNOW FLAKES NESTLE 230G,cereal matinal,95,first_relevance,1.7814557212169484
DRI_L0size100_Nc100_Seed142,100,97,25153,DESOD SANIT PATO GEL ADES MARINE AP 38g,desodorante,96,first_relevance,1.7489530261876896
DRI_L0size100_Nc100_Seed142,100,98,56528,QUEIJO AURORA KG MUSSARELA PECA,queijo,97,first_relevance,1.1787203748720252
DRI_L0size100_Nc100_Seed142,100,99,30286,PANO M.USO SCOTT DURAMAX C/58 AZUL,pano para limpeza,98,first_relevance,1.2067203213102833
DRI_L0size100_Nc100_Seed142,100,100,54765,EUDOK 10MG C.30 COMPRIMIDOS PSICO GENOM,outro farma,99,first_relevance,1.0806261710470706
DRI_L0size250_Nc119_Seed292,250,1,26767,CR QUEIJO TIROLEZ M FRESCAL 200G-PT LIGHT,queijo,0,first_relevance,0.4931584759721714
DRI_L0size250_Nc119_Seed292,250,2,168741,ALFACE CRESPA ROXA ORG.VIVA BEM AV   1UN,alface,0,intra_novelty_relevance,0.40843700334008487
DRI_L0size250_Nc119_Seed292,250,3,64716,COLOMBA BAUDUCCO MINI CX 100G FRUTAS CRIST,panificacao pascoa,0,intra_novelty_relevance,0.3820543637379716
DRI_L0size250_Nc119_Seed292,250,4,3493,SOPAO MAGGI 150G MENOS SODIO CARNE C/LEG,preparo para sopa,0,intra_novelty_relevance,0.34848293178868206
DRI_L0size250_Nc119_Seed292,250,5,77105,"KIT TIRA M VANISH GEL CRST WHITE 1,2L UN",outro produto de limpeza domestica,0,intra_novelty_relevance,0.3462079646223065
DRI_L0size250_Nc119_Seed292,250,6,103431,REQUEIJAO CREM CANTO DE MINAS TRAD 400g,requeijao,0,intra_novelty_relevance,0.3408180276381856
DRI_L0size250_Nc119_Seed292,250,7,43421,CREAM CHEESE PORTO ALEGRE CREME QJO 300G,queijo cremoso,0,intra_novelty_relevance,0.32359984663018787
DRI_L0size250_Nc119_Seed292,250,8,106989,AZEITONA VERDE RECH PIMENTAO CARREFOUR POTE 250g,azeitona,0,intra_novelty_relevance,0.30334146764021785
DRI_L0size250_Nc119_Seed292,250,9,97779,PURIF. GLADE AERO FR.FLO.EMB.EC.LT 360ML,aromatizador,0,intra_novelty_relevance,0.294301957684369
DRI_L0size250_Nc119_Seed292,250,10,65925,BOMBOM LACTA SONHO VALSA PC 1KG TRADICIONAL,bombom,0,intra_novelty_relevance,0.2895201098341007
DRI_L0size250_Nc119_Seed292,250,11,3319,TEMPERO KITANO M.SABOR SALADA   PE   60G,tempero pronto,0,intra_novelty_relevance,0.27748398500006993
DRI_L0size250_Nc119_Seed292,250,12,62849,PROT.SOLAR NIVEA FPS30 200ML GTS PR.SOL.PR.100ML,protetor solar,0,intra_novelty_relevance,0.2687839871921566
DRI_L0size250_Nc119_Seed292,250,13,15196,PASTILHA COCA COLA TIC TAC 14.5G,bala,0,intra_novelty_relevance,0.26563067986520555
DRI_L0size250_Nc119_Seed292,250,14,136936,QJ PARM G.MESTRI 40G RALADO ZER LAC,queijo,0,intra_novelty_relevance,0.26535002836146737
DRI_L0size250_Nc119_Seed292,250,15,171326,BARRA CER NUTS ZERO EJOY AVELA CACAU 50G,barra alimentar,0,intra_novelty_relevance,0.25891082152748657
DRI_L0size250_Nc119_Seed292,250,16,93090,CAMISETA MC TEX GOLA V BRANCO MMOI22,camiseta,0,intra_novelty_relevance,0.2524195774267243
