nm_item,nm_product
GOMA MASC TRIDENT 28S,goma de mascar
BEB LACTEA TIROL GF 830G FRUTAS/CEREAIS,bebida lactea
CHOC NEUGEBAUER NAPOLITANO 70g,chocolate
DOCE FR CBS UVA 400g,outro doce
LIMAO 1KG,limao
"CAFE CAPITAL 500g, TRADICIONAL PURO",cafe
ANTI MOFO ANTI TRACA LIPEX 25G,outro produto de limpeza domestica
TORRADA ISABELA LIGHT PC 142G TRADICIONAL,torrada
ZIRVIT KIDS SUSPENSAO C.100ML ARESE,vitaminico
PAPINHA NESTLE MACA 120g,alimento pronto de bebe
"SUCO DEL VALLE FRUT CITRUS 1,5L",suco pronto
FIO DENTAL ORAL-B ESSENT FLOSS 50M MENTA.,fio dental
SARDINHA GOMES COSTA LIMA 125g,proteina em conserva
ARROZ ARBORIO BROTO LEGAL 500G,arroz
HASTE FLEXIVEL MILI LOVE CARE C/75,haste flexivel
CASTANHA CAJU PEQUENA MARIA ASSADA 100G,"nozes, castanhas e outras oleaginosas"
SAB GLIC GRANADO CAMOMILA 90G,sabonete
SALG E.CH CHEETOS 45G ONDA REQ,aperitivo
CB COSTELA FAT CO KG PAS,carne bovina
ABS HIG S LIVRE ADAP N/D SUA C/A C/16 L,absorvente
SAB LIQ ASEPTOL 1L ROSAS MARROQUINAS,sabonete liquido
SHAMPOO CLEAR A/CASPA MEN 2X1 200ML,shampoo
"QJ RAL 100 FX AZ  0,100",queijo
LAVA ROUP LIQ ARIEL 900ML CONC SAC EXPERT,lava roupas
FLAN CARAMEL BATAVO 400G,sobremesa pronta resfriada
APAR DESC BIC COMFORT WOMEN L5P4,aparelho de barbear e depilatorio
CERV PATAGONIA AMBER LAGER LT 473ML,cerveja
TEMPERO TAPAJOS COMPLETO C/PIM 300G CB,tempero pronto
SABONETEONLY BRANCO 90G,sabonete
BALA GELATINA FINI 80G REGALIZ TUBES TWISTER,bala
SAB BARRA GLIC LUX EDB DAMA NOITE 120G,sabonete
CERVEJA STELLA 350ML LAGER PREMIUM LATA,cerveja
ALHO ROXO EXCELENCIA 200G,alho
AMAC YPE CONC SC 1L BLUE,amaciante
OVOS CAIPIRA LABEL ROUGE ORG C/10,ovo
MASSA RAP 10 INTEGRAL           PE 330GR,padaria e confeitaria industrializado
GEL ADESIVO SANIPLUS 37GR REFIL LEMON,pedra sanitaria
ARFLEX RETARD 200MG C/12 COMPR DIFFUCAP,outro farma
BEB GUARANA LEAO ACAI PET 450ml,refresco
LIMP PERF COALA PINHO 120ML,multiuso
BISC RICHESTER DUPLO RECH ESCURETO 80G,biscoito
ACHOCOL NESCAU 370G LT  LIGA NESCAU,achocolatado
PAO DA MARCIA 600GR MILHO,padaria e confeitaria industrializado
ANA MARIA BAN C CHOC 35G,padaria e confeitaria industrializado
BISC CLUB SOCIAL 144G  INTEGRAL,biscoito
P HIG PERSONAL VIP F/D 30MT L16P15,papel higienico
PAO MEL COB PANCO 200G,outro doce
APAR.PRESTOBARBA 3 C 2 BODYSENSE,aparelho de barbear e depilatorio
KIBE SOJA INCRIVEL SEARA 300G,outro congelado
KIT SH 300ML COND 200ML NEUTROX  CLASS,kit para cabelos
CANETA CORRETIVO F.CASTELL MINI 4ML,caneta
MANTEIGA LECO 200G EX.CREM.C/SAL,manteiga
BISC WAFER KIT KAT CAPPUCC 41.5G,biscoito
LIMP PERF AJAX LIMPEZA PURA 1L MENTA E ORQUIDEA,multiuso
MINI COXINHA CATUPIRY RECH 300G,petisco e salgadinho congelado
"AGUA MIN BONAFONT 1,270ML C/GAS ABACAXI E HORT",agua
CAPPUCCINO 3CORACOES 200G-PT AVELA,cafe
MANTA COM NANINHA PARA BEBE,manta infantil
ZAMIOCULCAS P09 . PT09,plantas e sementes
FDA DESC HUGGIES SUPREME CAR MG XXG 26UN,fralda
CREME DENTAL ORAL B 4EM1 6X70G,creme dental
BROA ARTIJU 200G NATA/COCO,padaria e confeitaria industrializado
CHOC CHOCO TRIO NESTLE PC CHOCOLATE,chocolate
"SAB BAR FRANCIS C/6 CLASS UN, BRANCO, .",sabonete
MASSA MEZZANI LASANHA FRESCA 500G,massa fresca
ISCA MORTEIN MATA RATO SC 15G,raticida
CERV HEINEKEN BARRIL 5L,cerveja
MIST BOLO LARANJA SOL 400G,preparo para bolo
MUCILON ARROZ AVEIA  400G,cereal infantil ou farinha lactea
ACHOC PO ACTIGEN-E 2.0 NESCAU PT 200G,achocolatado
PAO BISNAG COOP COC,padaria e confeitaria industrializado
LEITE UHT DESN NATURALLE TP 1L,leite
CREAM CHEESE ORIG PHILADELPHIA 300G,queijo cremoso
BOLO CHOCOLATE SB 250G,padaria e confeitaria industrializado
CJ 6 TACAS VINHO 580ML,taca
ST.A.BACT.REXONA 84G C.6 BAMBOO LM PM,sabonete
CR DENT SORRISO 180GR LIMP COMPLETA,creme dental
ENXAG COLGATE PLAX L500P350ML ICE INFINITY,enxaguante bucal
"BIBS NEUGE AO LEITE 12,3G",chocolate
SUPER FLOCAO CORINGA 2X500G,floco de milho
REFESC PO GUARANA MID 20G,preparo para suco
FRALDA PAMPERS C/32 PANTS XG,fralda
DOCE C/LEITE VALORE 400g,outro doce
"HAMB SADIA 672G, BOVINO, .",hamburguer congelado
NECTAR MARATA GOIABA 200ml,suco pronto
BISC VALE PRATA SEQUILHO LEITE 200G,biscoito
TOMATE YELLOW GRAP LV DE AGROT 180G,tomate
PH FD SUBLIME SOFTYS NEUTRO L16P15,papel higienico
BISC SEQUILHO REGIONAIS PC 100G,biscoito
SACO LIXO DOVER ROLL C/50 ODOR DEFENSE,saco de lixo
CEREAL PO MUCILON 1KG SACHE MULTICEREAIS,cereal infantil ou farinha lactea
NECTAR MAGUARY 1L-TP MORANGO,suco pronto
TEMPERO MARIZA AVES/PEIXE/ARROZ 50G,tempero pronto
FILE MIGNON SUINO SADIA S/OS FAT CG 800g,carne suina
MICROONDAS ELECTROLUX MTD30 20L B 110V,micro-ondas
AZEITONA VDE GALLO FATIADA 150G,azeitona
CEREAL MAT NEST NESCAU 400G DUO,cereal matinal
BEB LAC UHT CAPP CACAU 3 CORRACOES 260ML,bebida lactea
FAROFA YOKI TEMPD 200G-PC MAND SUAVE,farofa pronta
REFRESCO FRISCO 25GR MORANGO,preparo para suco
PIPOCA DOCE MAGITLEC 50G CARAM LEITE COND,pipoca pronta
PILHA RAYOVAC AMA AAA8 PAL L P-,pilha
ALIM P/ CAES PEDIGREE AD R PEQ FGO SACHE 100g,alimento pet
CAFE NESCAFE D GUSTO LAT MAC C/10 112.5G,cafe
PNEU TRACMAX 175/75 R13,automotivo
"AGUA ALCALINA AYLA 1,25L-PET S/GAS",agua
"RACAO WHISKAS 2,7KG PEIXE",alimento pet
CALDO TAB KNORR 114G GALINHA,caldo industrializado
MAS MACAR BOM GOS SMOLA 500G,macarrao
BATATA RUFFLES 76G CEB e SALSA,aperitivo
POLPA NORDESTE FRUIT CAJU 400G,polpa de fruta congelada
MOLHO 3EM1 HELLMANNS  370GR,outro molho
BOLINHO BAUDUCCO KIDS PC 40G MORANGO,padaria e confeitaria industrializado
CD COLGATE VERDE 50G,creme dental
IOG LIQ DANONINHO 100G BANANA E MACA,iogurte
FGO ASS FC SADIA KG  KG,carne de ave
CREME AVELA PREZUNIC C/CACAU PET 350G,creme de avela
BARRA CERE NATURALLE CAST AVEI 75g,barra alimentar
REFRI FYS LARANJA LT 350ML,refrigerante
BEBIDA LACT NESTLE FAR LACTEA,bebida lactea
AGUA MINERAL ATTIVA S/GAS 1.5l,agua
QA BACON FATIADO QUALITA 250G,carne suina
FNHA TR INT ORQUIDEA  1KG,farinha de trigo
"SABONETE LUX 125G, LIRIO AZUL",sabonete
PE FRICASA SALGADO DE SUINO MF KG,carne suina
MAC MAC N SADIA 300G  CHEESE TRAD,macarrao
LEITE FERM ELEGE BOB ESP UVA C/3 160G,leite fermentado
KINDER CHOCOLATE 24X12.5 GRAMAS,chocolate
ENX COLG NATURAL VERDE 500 ML,enxaguante bucal
FITA CREPE ATLAS 18X45m,fita adesiva
CERVEJA BRAHMA CHOPP ZERO       LN 355ML,cerveja
ALC LIQ ZULU HOSPITALAR 1LT,alcool
PROM BAN MM RF 30OFF LARANJ 400ML,desinfetante
CIG CHESTERFIELD ORIG KS SOF CART/1,cigarro
ABS ALWAYS C/8 C/AB NOITES TRANQ SECA,absorvente
MORTADELA SEARA DEF PC KG,mortadela
MUCILON MILHO 400G,cereal infantil ou farinha lactea
"LAVA ROUPA PO CONC TIXAN 1,3KG- SACHE PRIMAVERA",lava roupas
TEENS CHOCOLATE 30G,aperitivo
FIL MIGN VAC KG,carne bovina
INHAME EMB KG KG,inhame
WHISKY OLD PARR GF 750ML,whisky
MAC INST LAMEN NISSIN CARN 85g,macarrao
LAVA LOUCAS LUSHER 500ML  CLEAR,detergente
BOLINHO STA EDWIGES ANIM.CHOC 40g,padaria e confeitaria industrializado
BATATA PALITO BEM BRASIL 1 5KG,batata congelada
APRESUNTADO PREMIADA KG PECA,apresuntado
LEITE PO ITALAC DESNATADO INSTANT 200g,leite em po
MANDIOCA SEARA SUPREME CONG         600G,vegetal congelado
CHANTY MIX AMELIA 1L,outro laticinio refrigeirado
QUEIJO PRATO TIROLEZ LIGHT FAT. AV    KG,queijo
CHOC BR NESTLE ALPINO 90G,chocolate
KIT SEDA SH COND 325ML PRECO ESP LISO PERF,kit para cabelos
LEITE ZERO LACTOSE LEITISSIMO 1L,leite
MOL ING KITANO  150ML,molho ingles
AMAC CARREFOUR ESSENTIAL CLASSIC 5L,amaciante
DESOD AER FEM REXONA 250ML ANT/INV L P-,desodorante
REQUEIJAO POCOS DE CALDAS ORIG LIGH 400g,requeijao
CIG DOUBLE ICE LUCKY STRIKE,cigarro
ENROLADO FRIOS KG,padaria e confeitaria fresca
G CL METFORMINA 850MG C/30 COMP REV MERC,outro farma
LINGUICA CARNE SUINA MF TFV KG,linguica
CAFE SOLUVEL SAO BRAZ SACH EXT FORTE,cafe
SALONPAS SALONSIP EMP C/3 HISAMITSU,outro farma
PAPEL HIG FL/DP ATUALLE MAX 12UN 20M NEUTRO,papel higienico
REQ QUALY 200G LIGHT,requeijao
AMIDO MILHO CBS 500g,amido de milho
COND PANTENE HIDRATACAO 175ML,condicionador
LEITE FERM YAKULT 40BOPP LGT C/6,leite fermentado
TOMATE MEL 180G 180G,tomate
SALG E.CH CHEETOS 115G PATAS,aperitivo
SAB LIQ LUX ORQUI NEGRA RF 200ML,sabonete
WHISKY OLD PARR 12A 750ML-GF,whisky
DESOD AERO BOZZANO ANTI S PERF 150ML,desodorante
TEMP MAGGI MEU SEGREDO 49G TOMATE,caldo industrializado
COND PANTENE MICELAR 175ML,condicionador
BALA FINI TUBES UVA CITRICO 80G,bala
REFR PO FRESH 15G  CAJU,preparo para suco
SUCO INT PRATS LARANJA 1.7L,suco pronto
"CHOC LACTA BIS, 126G TRADICIONAL",chocolate
ESP BARB GILLETTE PRESTOBARBA 56G SENSI,espuma ou gel de barbear
MARGARINA BECEL 250GR C/SAL,margarina
APARELHO PRESTOBARBA ULTRAGRIP 3FIXO C/2,aparelho de barbear e depilatorio
SALG SKINY CLASSICO 38G PRESUNTO,aperitivo
CIGARRO CAMEL DOUBLE MINT PURPLE BOX UN,cigarro
MAMINHA BOV TOP QUALITY ANGUS (PECA)  KG,carne bovina
BALA MASTIG CHITA 600G-PC SORT,bala
UVA CRIMPSON IMP S/SEMENTE EMB Kg,uva
SABT PROTEX LIMP PROF ORIG 85G C/6 L P- R UN,sabonete
FRALDA T.MONICA JUMBO P C/30,fralda
PAO BAGUETE FAB PROPRIA KG,padaria e confeitaria fresca
PURIF BOM AR AERO TALCO 360ML DESC,aromatizador
CERVEJA BADEN BADEN IPA 350ML,cerveja
AGUA MIN MINALBA 310ML C/G,agua
LEITE FERM UVA FRUTAP GF 900G,leite fermentado
DES CREME HERBISSIMO TRAD 55G,desodorante
MAIONESE HELLMANNS TRAD 2X500G,maionese
POLVILHO AZEDO YOKI 500G,polvilho
MINI PIZZA VENEZA DIV.4/100GR   PE 400GR,outro congelado
BEB LAC POLPA VIGOR TODO DIA 540G VITAMINA,iogurte
ACUCAR MASCAVO GASPARIN 500g,acucar
BISC BAUDUCCO COOKIES CACAU/AVELA 80g,biscoito
ALIM GATOS WHISKAS CARNE JUNIOR 85G,alimento pet
QA CASTANHA CAJU TORR SEM SAL 180G,"nozes, castanhas e outras oleaginosas"
SAB LIQ PALM LUM FIG ROSA 250ML,sabonete liquido
"BOMBOM LACTA FAVORITOS         CX250,6GR",bombom
CONF MARIZA ROSA 70G,acucar
SOBREM DANETTE 540G CHOC BCO,iogurte
APRESUNTADO PERDIGAO 200G FAT,apresuntado
BEB AMEND ADES ORIGNAL TP 1L,outra bebida
BARALHO COPAG UNO,_RARE_
"CALDO SAZON 37.5G, GALINHA",caldo industrializado
ALMONDEGA BOV.SADIA 500G BOVINA,almondega congelada
SALAME SADIA 100G PEPPERONI FATIADO,salame
FARINHA MILHO ALTO VALE 1KG GROSSA,farinha de milho
"LEITE FERM ACTIVIA 510g, AMEIXA",leite fermentado
PAO SUECO GERGELIM FLORIO 180GR,padaria e confeitaria industrializado
PASSATA RUSTICA CASINO 680G,prato pronto
CERVEJA PURO MALTE SPATEN LATA 473ML,cerveja
SMOOTHIE YOPRO 15G GUA FR VERM 250G,iogurte
CH IP CLASSICA MASC 5320 AZ 39/40,chinelo
REFRIGERANTE GUARANA ANTARCTICA ZR 200ml,refrigerante
IOGURTE LIQUIDO NESTLE MORANGO 170G,iogurte
PEITO DE FRANGO FAT TEMP DEFCERATTI 100G,carne de ave
RACAO CHAMP ADULTO CARNE CEREAL 900G,alimento pet
CR DENTAL COLGATE TOTAL C MINT 180G,creme dental
SUCO INT NATURAL ONE LARANJA GRF 180ML,suco pronto
CIGARRO WINSTON BLUE BOX UN,cigarro
GENGIBRE MOIDO KITANO 15G,outro condimento
"IOG GREGO VIGOR POTE 90g, LOUC POR FLOC",iogurte
REF COCA COLA 9X2L,refrigerante
SMARTPHONE SAMSUNG A14 128GB PTO SP,celular
CR DENT SORRISO FORT PROTECT 70G,creme dental
REFRIGERANTE GUARANA JESUS 350ml,refrigerante
PANETTONE NESTLE ALPINO RECH CHOC 450g,panificacao natal
DECONGEX PLUS ACHE                   4CP,outro farma
STREPSILS LARANJA 8.75 MG C 16 PAST,laranja
ANEIS CEBOLA BEM BRASIL 450G,empanado congelado
CALDO MAGGI 114G CARNE,caldo industrializado
"CR IOIO CREM HERSHEYS 180G, CHOC",outro doce
"GELAT APTI VITAM 35G, ABACAXI, .",gelatina
BL WH ZL BAT DOC PIRACAN 250ML,demais funcionais e restritivos
"PAPEL HIG NEVE L16P15 UN, 30M TQ SEDA,.",papel higienico
SACO LIXO EMBALIXO AZUL WECYCLE 50L,saco de lixo
CANUDO ITALIA 200G  200G,preparo de alimento
BEB LAC DANONE POLPA MORANGO 510g,bebida lactea
FILE ABADEJO NETUMAR CONG 1KG,peixe
MASSA RENATA C/OV PARAFUSO 500g,macarrao
DESOD ROLLON BONI NATURAL 55ML,desodorante
PAPEL HIG FOFINHO PC8 30M F DUPLA NEUTRO,papel higienico
SABON DOVE 90G LEITE DE COCO,sabonete
BISC WAFER CHOKOLISSIMO PC AO LEITE,biscoito
BISC POLV CASSINI SALGADO 200G,biscoito
BISC.RECH.BONO 100G COCO,biscoito
CURATIVO CARREFOUR PROV DAGUA 20UN,curativo adesivo
BISC ROSQUINHA FORTALEZA COCO 350G,biscoito
CO SEDA 325ML-FR BIOTINA/RICINO,condicionador
MAIONESE HEINZ 390G,maionese
DESINF YPE BAK FLORAL 1L,desinfetante
PANETTONE SEVEN BOYS FRUTAS UVA PAS 400G,panificacao natal
TIRA MANCHAS LIQ SAIF POD O2 BCO S/CL REF 500ml,alvejante
LAMP ELET 15W 220V BRANCA 1UN,lampada
MAC INST CARNE SUAV 85G,macarrao
SAB BARRA JJ AMENDOA AMEND 80G,sabonete
/KIT BAGUETE SALAME UNI,prato pronto
MOLHO REFRI POLENGHI CHEDDAR PT 220G,molho shoyu
SH.CLEAR ANTICASPA 400ML LIM.PROFUNDA,shampoo
AGUA MINERAL DA GUARDA C/GAS    FC 500ML,agua
BISC LANCHESTER 20G,biscoito
LICOR AMARULA 750ML,licor
FILE PANGA FRUMAR PREMIUM CONG PCT 800g,peixe
OLEO MILHO LIZA PET 900ML,oleo vegetal
KETCHUP SB CEPERA FR 1.010KG,ketchup
REFRESCO PO TANG 25G UVA INTENSA,preparo para suco
PROTETOR CAREFREE PROT S/PERF 40un,absorvente
CREAM CHEESE PHILADELPHIA ORIG   PT 300G,queijo cremoso
LAVA ROUPA LIQ CANDURA 5L,lava roupas
MELAO PELE DE SAPO KG,melao
MAIONESE HEINZ 400G C/2 50  DESC 2UN,maionese
QJ GOUDA HOLANDES COM PIMENTA 150 G,queijo
BOLINHO BAUDUCCO KIDS PC 40G LARANJA,padaria e confeitaria industrializado
CR PENT ELSEVE 250ML HIDRA HIALURON,creme para pentear
CAPS QUENIA TOPCHEF 50GR,cafe
CANELA CHINA KITANO  PO 8G,canela
ESTOPA ALGO BOM ALVEJADA 100G,automotivo
"CAFE BOM TAI 500G, EXT FORTE ALMOF, .",cafe
MORC TRAD 180G  180G,outro embutido
CERV ECOBIER PURO MALTE PREMIUM LT 350ML,cerveja
AVE SUPREME FACIL SADIA TEMPD KG CONG,carne de ave sazonal
LAMEN DOCE BEIJINHO NISSIN 55G,macarrao
AMENDOIM VERDE C/CAS Kg,amendoim
SANDUICHE DE PRESUNTO,prato pronto
CAFE SOLUV GRAN MELITTA SACHE 50g,cafe
SAB MOTIVUS BR 90G DOCURA BRANCO,sabonete
"BOMBOM SERENATA DE AMOR 16,5G",bombom
KETCHUP HELLMANNS 380G PICANTE,ketchup
CR DENT ORAL B 4EM1 70G,creme dental
PATINHO BOV PEDACO RESF KG,carne bovina
LTE IN DANONE TMP BRANCO 1L,leite
CHOC NESTLE PRESTIGIO             BR 33G,chocolate
DESOD AERO MOOD 90G  WOMEN,desodorante
AMAC YPE CONC BLUE 1LITRO,amaciante
CALDO MAGGI 35G CARNE,caldo industrializado
BANHA FRIMESA 1KG . 1KG,outro resfriado
REFRESCO PO CLIGHT LIMONADA 8G,preparo para suco
SABAO BARRA YPE NATURAL 180G,sabonete
CERV BURGUESA PILSEN LT 350ML,cerveja
PAO QUEIJO SEARA TURMA DA MONICA 400G,massa de pao de queijo
ACTIVIA DANONE MAM/CER/AV.      CJ 600GR,iogurte
CERVEJA WALS HOP CORN 600ML- LN I.P.A,cerveja
"DESOD SUAVE 150ML AERO, FEM INVISIBLE",desodorante
REFR LARANJA VIEIRA ROSSI 350ML,suco pronto
VYNAXA 20MG C. 28 CP EMS,outro farma
CERV EISENBAHN UNFILTERED LN 355ML,cerveja
BISC MARILAN WAFER CHOCOLATE 115G,biscoito
SOBREMESA VIGOR 180GR CREMOSA CHOCOLATE,iogurte
TORTINHA RECH ADRIA 140G CHOC,biscoito
CHA ERVAS LEAO PREM 15SQ-CX B NOITE MAR CID CAM,cha por infusao
ALFAJOR HANGAR 70G CHOC MEIO AMARGO,outro doce
FEIJAO CARIOCA PATUREBA TP1 1KG,feijao
ESFIHA ALMANARA FEC CARNE 300G,outro congelado
SAB DOVE HID 90G-CX 6UN/PG5UN KARITE BAUNILHA,sabonete
SABONETE BABY PROTEX 85G GLICERINA NATUR,sabonete
POTE PLAST SANREMO,recipientes
ABS SEMPRE LIVRE ADAPT REG C/3 SUAVE,absorvente
ATUM SOLIDO COQUEIRO OLEO 170G,proteina em conserva
OVO PASCOA ARCOR TORTUG.ROCKLETS 205G,ovo de pascoa
CREAM CHEESE BISNAGA POLENGHI 400G,queijo cremoso
SABAO PO ASTER MULTIACAO SCH 2KG,lava roupas
CAFE DONA BEJA TRADICIONAL 500G,cafe
LING TOSC LEBON 800G,linguica
SAB. MEMPHIS SENADOR CLAS.L4P3  CX 520GR,sabonete
SOBRECOXA FRAGO CONG IQF 1KG,carne de ave
PRATO FUNDO ASTRAL STA MARINA,prato
LOC PROTEX BABY DELI BRANCA 200ML,creme corporal
ALHO FORTTUNI 200G,alho
"FLOR KALANCHOE MINI, P 6",plantas e sementes
CONFEITO GRANULADO CHOC DORI 215G,cobertura pronta
CHA PRENDA FRUTAS VERMELHAS     CX  20GR,cha por infusao
CIG ROTHMANS RED BOX CARTEIRA,cigarro
CERUMIN 0.4 140MG SOL OTO GTS 8ML ALCON,outro farma
"SABAO PO ORIENTAL BAG 500G, COCO",lava roupas
BACALHAU RIBERALVES POSTA DES CONG 800g,bacalhau congelado
SOPA INST VONO 18G CALDINHO FEIJAO,preparo para sopa
NUGGETS FGO CROC SADIA 300G,empanado congelado
PACK 6 CALCINHAS INFANTIS,calcinha
SABON DOVE DELICIOUS CARE PEONIA     90G,sabonete
JILO 350G-BJ,jilo
"ALIMENTO C/SOJA MAIS VITA 1L, LARANJA",bebida de soja
LENCOL MF C ELAS CASAL CAMESA TRYX OI21,lencol
LIMPADOR AJAX F.FL.LA.L1000P800 FC   1LT,multiuso
IOG VIGOR VIV MIX 165G BLACK e WHITE,iogurte
ESCOVA ORAL B 1.2.3 ANTIBAC LV3PG2,escova de dentes
"FARINHA TIPITY PA 500G, TORRADA",farinha de mandioca
"TEMP KININO 280G, ALHO/SAL, .",tempero pronto
AMAC ROUPA CONC DOWNY ADORAVEL 450ML,amaciante
PACOCA TB YOKI 352G,pacoca
LAYS MEXICAN SAUCE 75G,aperitivo
SUCO FUN ZER LIF MIX KIDS MA MO TP 200ML,suco pronto
PALETA ATENDIMENTO CRFO KG,carne bovina
CORACAO FRANGO CONG SEARA 1kg,carne de ave
PALMITO INT PUP ROYAL PALMS 300g PPP,palmito
BALA GELAT DORI TIJOLO ACIDO 85G,bala
RATICIDA ISCA RODASOL MORTEIN 15G,raticida
BEB LACTEA CHOCO LEITE ONE WAY 208ML,bebida lactea
ABS HIG MILI DIA/NOITE SV C/ABAS C/16,absorvente
CHOC TAB LINDT EXCELLENCE EXTRA CREM,chocolate
LING CALAB PERDIGAO KG,linguica
FRALDINHA ANGUS KG,carne bovina
"BISC SALG VITARELLA DELIC 138g C/6, QJO",biscoito
CERVEJA ASHBY 600ML GFA TRIGO,cerveja
ERVA MATE MOIDA GRO VERDE 500G,erva mate
"RACAO PEDIGREE 100G, AD RP CARNE",alimento pet
PAO SIRIO  kg,padaria e confeitaria fresca
DESINFETANTE PINHO BRIL 1 SILVE PLUS,desinfetante
LIMPA ALUNINIO REAX 500ML,outro produto de limpeza domestica
FILTRO PERMANENTE P CAFE 102 PEQ CS,coador
"GEL DENT TANDY 50G, MOR",creme dental infantil
CIG DUNHILL EVOQUE EXPERIENCE CARTEIRA,cigarro
MARG LG CS QUALY250G  250G,margarina
"BISC PIRAQUE SALG 100g, PRESUNTO",biscoito
"CALDO KNORR ZERO SAL 48g, GALINHA",caldo industrializado
D.R.DOVE 50ML ORIGINAL,desodorante
CANUDO RECHEADO DE CHOCOLATE UND,padaria e confeitaria industrializado
SACO LIXO BAGLIXO PIA/BANH C/100,saco de lixo
MASSA PENA ALDENTE PIRAQUE 500G,macarrao
CONHAQUE DREHER 900 ML,conhaque
DESOD AER DOVE CLINICAL ORIG CLEAN 91g,desodorante
PIRAQ MALT COBER 80 80G,biscoito
SAB PALMOLIVE NAT SENSAC LUMIN ARGAN 85G,sabonete
AZ EXT V FILIPPO 500ML,azeite de oliva
